,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,is_podium,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
37,Australian Grand Prix,bottas,12.0,10,0,13.0,6,0,alfa,12,79.251,79.41,79.41,8.75,2.25,5.052631578947368,0,0.5789473684210527,4.0,19,0,12.38095238095238,0,17.1,15.05,0.0,85.0
38,Australian Grand Prix,kevin_magnussen,12.0,9,0,12.0,7,0,haas,16,80.254,80.254,80.254,14.75,1.25,7.0,0,0.0,7.0,2,0,12.227272727272728,0,17.1,15.05,0.0,85.0
39,Australian Grand Prix,ocon,20.0,7,0,22.0,5,0,alpine,8,79.605,79.136,79.061,8.75,1.5,8.904761904761905,0,0.0476190476190476,6.333333333333333,21,0,8.879310344827585,0,17.1,15.05,0.0,85.0
40,Australian Grand Prix,stroll,0.0,18,0,0.0,10,0,aston_martin,19,,,,10.0,3.0,10.952380952380953,0,0.0,12.333333333333334,21,0,9.679611650485436,0,17.1,15.05,0.0,85.0
41,Australian Grand Prix,gasly,6.0,12,0,10.0,8,0,alphatauri,11,79.58,79.226,79.226,10.0,1.25,7.75,0,0.05,6.333333333333333,20,0,9.037037037037036,0,17.1,15.05,0.0,85.0
42,Australian Grand Prix,leclerc,71.0,1,2,104.0,1,2,ferrari,1,78.881,78.606,77.868,1.0,1.0,6.136363636363637,1,0.1363636363636363,6.333333333333333,22,0,5.534653465346534,0,17.1,15.05,0.0,85.0
43,Australian Grand Prix,norris,16.0,8,0,24.0,4,0,mclaren,4,79.28,79.066,78.703,5.25,1.5,7.0,0,0.1739130434782608,8.0,23,0,8.761904761904763,0,17.1,15.05,0.0,85.0
44,Australian Grand Prix,russell,37.0,2,0,65.0,2,0,mercedes,6,79.405,79.076,78.93299999999999,3.0,1.0,11.736842105263158,1,0.0526315789473684,11.333333333333334,19,0,4.778846153846154,0,17.1,15.05,0.0,85.0
45,Australian Grand Prix,albon,1.0,16,0,1.0,9,0,williams,20,80.135,80.135,80.135,10.0,1.0,13.5,0,0.0,13.5,2,0,12.68421052631579,0,17.1,15.05,0.0,85.0
46,Australian Grand Prix,latifi,0.0,20,0,1.0,9,0,williams,18,81.372,81.372,81.372,0.0,0.0,15.15,0,0.0,15.0,20,0,12.92134831460674,0,17.1,15.05,0.0,85.0
47,Australian Grand Prix,tsunoda,4.0,13,0,10.0,8,0,alphatauri,13,79.742,79.424,79.424,13.75,1.75,11.526315789473683,0,0.0,11.0,19,0,10.546875,0,17.1,15.05,0.0,85.0
48,Australian Grand Prix,mick_schumacher,0.0,17,0,12.0,7,0,haas,15,80.104,80.465,80.465,0.0,0.0,16.105263157894736,0,0.0,16.0,19,0,14.134328358208956,0,17.1,15.05,0.0,85.0
49,Australian Grand Prix,zhou,1.0,15,0,13.0,6,0,alfa,14,79.91,80.155,80.155,10.5,2.0,10.5,0,0.0,10.5,2,0,12.367088607594935,0,17.1,15.05,0.0,85.0
50,Emilia Romagna Grand Prix,hamilton,28.0,7,0,77.0,3,0,mercedes,14,80.47,81.138,81.138,2.0,4.0,3.125,0,0.75,5.333333333333333,24,1,3.125,0,14.05,9.3,0.1,73.5
51,Emilia Romagna Grand Prix,vettel,4.0,14,0,5.0,9,0,aston_martin,13,80.364,79.957,91.062,15.0,5.0,11.052631578947368,0,0.0526315789473684,9.666666666666666,19,1,8.838709677419354,0,14.05,9.3,0.1,73.5
52,Emilia Romagna Grand Prix,perez,54.0,3,0,113.0,2,2,red_bull,3,79.773,79.29599999999999,89.80799999999999,11.0,2.0,6.782608695652174,1,0.2608695652173913,7.0,23,1,6.782608695652174,0,14.05,9.3,0.1,73.5
53,Emilia Romagna Grand Prix,ricciardo,11.0,11,0,46.0,4,0,mclaren,6,79.98,80.031,89.742,6.0,2.0,8.26086956521739,0,0.0434782608695652,7.666666666666667,23,1,8.26086956521739,0,14.05,9.3,0.1,73.5
54,Emilia Romagna Grand Prix,bottas,24.0,8,0,25.0,5,0,alfa,7,80.419,80.19200000000001,90.439,5.0,1.0,5.2,0,0.55,5.666666666666667,20,0,12.181818181818182,0,14.05,9.3,0.1,73.5
55,Emilia Romagna Grand Prix,kevin_magnussen,15.0,10,0,15.0,8,0,haas,8,80.14699999999999,79.902,89.164,9.0,1.0,9.333333333333334,0,0.0,9.333333333333334,3,0,12.266666666666667,0,14.05,9.3,0.1,73.5
