,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
194,French Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,14,93.439,93.439,93.439,7.0,1.0,8.666666666666666,0.037037037037037,6.0,27,1,9.5,1,32.6,14.05,0.0,34.5
195,French Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,5,92.672,92.777,92.032,5.0,1.0,7.096774193548387,0.1612903225806451,1.0,31,1,8.605633802816902,0,32.6,14.05,0.0,34.5
196,French Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,6,93.109,92.633,92.131,12.0,1.0,9.407407407407408,0.1481481481481481,7.5,27,1,4.714285714285714,0,32.6,14.05,0.0,34.5
197,French Grand Prix,albon,46.0,8,0,59.0,5,0,williams,13,93.423,93.307,93.307,0.0,0.0,12.444444444444445,0.0,8.0,9,0,12.538461538461538,0,32.6,14.05,0.0,34.5
198,French Grand Prix,mick_schumacher,12.0,15,0,34.0,7,0,haas,17,93.701,93.701,93.701,19.0,1.0,15.115384615384617,0.0,9.333333333333334,26,1,14.04964539007092,0,32.6,14.05,0.0,34.5
199,French Grand Prix,zhou,5.0,17,0,51.0,6,0,alfa,16,93.674,93.674,93.674,0.0,0.0,12.142857142857142,0.0,12.666666666666666,7,0,12.392857142857142,0,32.6,14.05,0.0,34.5
202,Hungarian Grand Prix,vettel,16.0,14,0,20.0,9,0,aston_martin,18,79.273,79.273,79.273,0.0,0.0,11.107142857142858,0.0357142857142857,12.333333333333334,28,0,9.140845070422536,0,19.65,28.85,0.2,68.0
211,Hungarian Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,0,79.527,79.527,79.527,5.0,4.0,8.785714285714286,0.0357142857142857,6.0,28,1,9.571428571428571,0,19.65,28.85,0.2,68.0
216,Hungarian Grand Prix,latifi,0.0,20,0,3.0,10,0,williams,19,79.57,79.57,79.57,7.0,3.0,15.107142857142858,0.0,14.333333333333334,28,1,13.09278350515464,0,19.65,28.85,0.2,68.0
218,Hungarian Grand Prix,mick_schumacher,12.0,15,0,34.0,7,0,haas,15,79.164,79.202,79.202,12.0,3.0,15.11111111111111,0.0,9.666666666666666,27,1,14.056338028169014,0,19.65,28.85,0.2,68.0
